relation	expected	observed	surplus	deficit	status
P1001	172	216	44	0	overfilled
P1002	69	66	0	3	underfilled
P10254	88	84	0	4	underfilled
P10374	178	98	0	80	underfilled
P10449	87	83	0	4	underfilled
P10607	99	95	0	4	underfilled
P10624	65	66	1	0	overfilled
P1142	65	64	0	1	underfilled
P1151	114	113	0	1	underfilled
P1158	174	166	0	8	underfilled
P1204	114	113	0	1	underfilled
P12363	87	83	0	4	underfilled
P12452	90	87	0	3	underfilled
P1268	271	271	0	0	met
P127	179	184	5	0	overfilled
P12764	138	135	0	3	underfilled
P12765	97	93	0	4	underfilled
P1290	54	52	0	2	underfilled
P12994	227	106	0	121	underfilled
P131	179	353	174	0	overfilled
P1312	69	77	8	0	overfilled
P13177	429	408	0	21	underfilled
P13210	189	188	0	1	underfilled
P1322	261	249	0	12	underfilled
P13478	64	61	0	3	underfilled
P1398	132	126	0	6	underfilled
P1403	97	93	0	4	underfilled
P1414	69	71	2	0	overfilled
P1420	211	201	0	10	underfilled
P1434	110	104	0	6	underfilled
P1445	110	106	0	4	underfilled
P1531	89	85	0	4	underfilled
P1537	61	58	0	3	underfilled
P1542	61	64	3	0	overfilled
P1560	208	198	0	10	underfilled
P1589	56	57	1	0	overfilled
P16	294	288	0	6	underfilled
P1625	178	170	0	8	underfilled
P163	107	102	0	5	underfilled
P1639	249	236	0	13	underfilled
P1654	71	68	0	3	underfilled
P167	132	126	0	6	underfilled
P1678	68	68	0	0	met
P1753	91	87	0	4	underfilled
P1754	95	92	0	3	underfilled
P1889	205	251	46	0	overfilled
P2098	111	109	0	2	underfilled
P2152	329	54	0	275	underfilled
P2155	318	207	0	111	underfilled
P2283	59	66	7	0	overfilled
P2289	88	88	0	0	met
P2353	185	176	0	9	underfilled
P2388	91	93	2	0	overfilled
P2389	88	84	0	4	underfilled
P2499	87	83	0	4	underfilled
P2500	87	83	0	4	underfilled
P2567	81	81	0	0	met
P2568	82	82	0	0	met
P2670	183	192	9	0	overfilled
P2673	225	214	0	11	underfilled
P2674	225	226	1	0	overfilled
P2681	131	128	0	3	underfilled
P2682	131	125	0	6	underfilled
P2743	468	445	0	23	underfilled
P279	227	750	523	0	overfilled
P2935	69	68	0	1	underfilled
P2959	199	197	0	2	underfilled
P3032	243	232	0	11	underfilled
P3075	63	64	1	0	overfilled
P3085	84	80	0	4	underfilled
P3094	94	88	0	6	underfilled
P31	238	5907	5669	0	overfilled
P3137	72	69	0	3	underfilled
P3148	81	81	0	0	met
P3261	84	82	0	2	underfilled
P3262	84	84	0	0	met
P3403	236	225	0	11	underfilled
P3461	83	83	0	0	met
P355	58	58	0	0	met
P361	183	241	58	0	overfilled
P366	180	198	18	0	overfilled
P3729	149	147	0	2	underfilled
P3730	150	143	0	7	underfilled
P3833	230	219	0	11	underfilled
P399	323	305	0	18	underfilled
P406	107	102	0	5	underfilled
P414	56	57	1	0	overfilled
P4147	170	162	0	8	underfilled
P4149	110	110	0	0	met
P4151	63	65	2	0	overfilled
P4329	111	105	0	6	underfilled
P4353	175	167	0	8	underfilled
P4545	339	59	0	280	underfilled
P457	76	74	0	2	underfilled
P461	370	352	0	18	underfilled
P466	164	158	0	6	underfilled
P4661	118	113	0	5	underfilled
P4688	90	87	0	3	underfilled
P4792	118	116	0	2	underfilled
P4967	69	66	0	3	underfilled
P5135	65	65	0	0	met
P514	497	38	0	459	underfilled
P527	191	255	64	0	overfilled
P5277	180	180	0	0	met
P5278	226	215	0	11	underfilled
P5607	189	180	0	9	underfilled
P5642	62	62	0	0	met
P567	231	223	0	8	underfilled
P568	230	222	0	8	underfilled
P5998	90	86	0	4	underfilled
P612	89	89	0	0	met
P6185	316	301	0	15	underfilled
P6291	106	106	0	0	met
P6439	107	102	0	5	underfilled
P694	141	134	0	7	underfilled
P7209	197	138	0	59	underfilled
P748	57	57	0	0	met
P7604	110	105	0	5	underfilled
P793	336	343	7	0	overfilled
P7938	57	55	0	2	underfilled
P8058	104	99	0	5	underfilled
P8138	62	59	0	3	underfilled
P814	179	177	0	2	underfilled
P816	99	86	0	13	underfilled
P822	109	104	0	5	underfilled
P8225	89	93	4	0	overfilled
P8263	91	88	0	3	underfilled
P828	64	66	2	0	overfilled
P8289	109	105	0	4	underfilled
P8308	175	167	0	8	underfilled
P837	60	60	0	0	met
P8571	93	89	0	4	underfilled
P880	61	58	0	3	underfilled
P8865	230	129	0	101	underfilled
P9059	60	57	0	3	underfilled
P9234	107	100	0	7	underfilled
P927	59	57	0	2	underfilled
P931	177	169	0	8	underfilled
P9926	107	102	0	5	underfilled
